Día,Hora,Total,Aplicativo,Marca,SEDE,Estado,Hora.1,Minuto,MA,Fecha
28,00/01/1900 20:35,"33,6",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,20,35,10/2024,28/10/2024 20:35
28,00/01/1900 14:30,"28,63",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,14,30,10/2024,28/10/2024 14:30
28,00/01/1900 13:49,"36,35",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,13,49,10/2024,28/10/2024 13:49
27,00/01/1900 23:07,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,23,7,10/2024,27/10/2024 23:07
28,00/01/1900 11:33,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,11,33,10/2024,28/10/2024 11:33
28,00/01/1900 19:45,"31,15",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,19,45,10/2024,28/10/2024 19:45
28,00/01/1900 14:14,"32,34",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,14,14,10/2024,28/10/2024 14:14
28,00/01/1900 16:27,"32,34",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,16,27,10/2024,28/10/2024 16:27
28,00/01/1900 15:05,"25,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,15,5,10/2024,28/10/2024 15:05
28,00/01/1900 22:53,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,53,10/2024,28/10/2024 22:53
28,00/01/1900 22:52,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,52,10/2024,28/10/2024 22:52
28,00/01/1900 22:44,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,44,10/2024,28/10/2024 22:44
28,00/01/1900 22:38,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,38,10/2024,28/10/2024 22:38
28,00/01/1900 22:19,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,19,10/2024,28/10/2024 22:19
28,00/01/1900 22:15,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,15,10/2024,28/10/2024 22:15
28,00/01/1900 22:06,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,22,6,10/2024,28/10/2024 22:06
28,00/01/1900 20:25,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,20,25,10/2024,28/10/2024 20:25
28,00/01/1900 19:27,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,19,27,10/2024,28/10/2024 19:27
28,00/01/1900 19:20,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,19,20,10/2024,28/10/2024 19:20
28,00/01/1900 11:21,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,11,21,10/2024,28/10/2024 11:21
28,00/01/1900 19:16,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,19,16,10/2024,28/10/2024 19:16
28,00/01/1900 17:13,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,17,13,10/2024,28/10/2024 17:13
28,00/01/1900 16:49,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,16,49,10/2024,28/10/2024 16:49
28,00/01/1900 15:08,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,15,8,10/2024,28/10/2024 15:08
28,00/01/1900 14:34,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,14,34,10/2024,28/10/2024 14:34
28,00/01/1900 14:12,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,14,12,10/2024,28/10/2024 14:12
28,00/01/1900 13:58,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,13,58,10/2024,28/10/2024 13:58
28,00/01/1900 13:57,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,13,57,10/2024,28/10/2024 13:57
28,00/01/1900 13:51,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,13,51,10/2024,28/10/2024 13:51
28,00/01/1900 13:44,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,13,44,10/2024,28/10/2024 13:44
28,00/01/1900 13:25,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,13,25,10/2024,28/10/2024 13:25
28,00/01/1900 13:22,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,13,22,10/2024,28/10/2024 13:22
28,00/01/1900 12:27,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,12,27,10/2024,28/10/2024 12:27
28,00/01/1900 11:38,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,11,38,10/2024,28/10/2024 11:38
28,00/01/1900 18:39,"24,45",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,18,39,10/2024,28/10/2024 18:39
28,00/01/1900 22:52,"22,4",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,22,52,10/2024,28/10/2024 22:52
28,00/01/1900 14:57,15,REST,WILL & BILL,LOS OLIVOS,ACEPTADO,14,57,10/2024,28/10/2024 14:57
28,00/01/1900 18:37,"23,76",REST,PASTI PASTA,LOS OLIVOS,ACEPTADO,18,37,10/2024,28/10/2024 18:37
28,00/01/1900 20:01,21,REST,CARRITO SANGUCHERO,LOS OLIVOS,ACEPTADO,20,1,10/2024,28/10/2024 20:01
28,00/01/1900 19:18,"12,9",REST,PITROIT PIZZA,LOS OLIVOS,ACEPTADO,19,18,10/2024,28/10/2024 19:18
28,00/01/1900 9:53,"16,8",REST,CARRITO SANGUCHERO,LOS OLIVOS,ACEPTADO,9,53,10/2024,28/10/2024 9:53
28,00/01/1900 14:44,"30,33",REST,PASTI PASTA,LOS OLIVOS,ACEPTADO,14,44,10/2024,28/10/2024 14:44
28,00/01/1900 21:58,"12,6",REST,CARRITO SANGUCHERO,LOS OLIVOS,ACEPTADO,21,58,10/2024,28/10/2024 21:58
27,00/01/1900 22:43,"10,5",REST,CARRITO SANGUCHERO,LOS OLIVOS,ACEPTADO,22,43,10/2024,27/10/2024 22:43
28,00/01/1900 19:21,"22,4",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,19,21,10/2024,28/10/2024 19:21
28,00/01/1900 11:45,"16,86",REST,PASTI PASTA,LOS OLIVOS,ACEPTADO,11,45,10/2024,28/10/2024 11:45
28,00/01/1900 12:19,"15,86",REST,PASTI PASTA,LOS OLIVOS,ACEPTADO,12,19,10/2024,28/10/2024 12:19
28,00/01/1900 10:38,"11,96",REST,PASTI PASTA,LOS OLIVOS,ACEPTADO,10,38,10/2024,28/10/2024 10:38
28,00/01/1900 14:03,"29,95",REST,MAMA ROSITA,LOS OLIVOS,ACEPTADO,14,3,10/2024,28/10/2024 14:03
28,00/01/1900 20:03,"19,46",REST,BRIOCHE,LOS OLIVOS,ACEPTADO,20,3,10/2024,28/10/2024 20:03
28,00/01/1900 15:57,"28,17",REST,MAMA ROSITA,LOS OLIVOS,ACEPTADO,15,57,10/2024,28/10/2024 15:57
28,00/01/1900 20:53,"26,35",REST,MAMA ROSITA,LOS OLIVOS,ACEPTADO,20,53,10/2024,28/10/2024 20:53
28,00/01/1900 10:22,"9,16",REST,LA MECHE,LOS OLIVOS,ACEPTADO,10,22,10/2024,28/10/2024 10:22
28,00/01/1900 12:51,"9,16",REST,LA MECHE,LOS OLIVOS,ACEPTADO,12,51,10/2024,28/10/2024 12:51
28,00/01/1900 11:40,"9,96",REST,LA MECHE,LOS OLIVOS,ACEPTADO,11,40,10/2024,28/10/2024 11:40
28,00/01/1900 15:26,"17,5",REST,MAMA ROSITA,LOS OLIVOS,ACEPTADO,15,26,10/2024,28/10/2024 15:26
28,00/01/1900 18:23,12,REST,MAMA ROSITA,LOS OLIVOS,ACEPTADO,18,23,10/2024,28/10/2024 18:23
28,00/01/1900 8:44,"10,15",REST,MAMA ROSITA,LOS OLIVOS,ACEPTADO,8,44,10/2024,28/10/2024 8:44
28,00/01/1900 15:16,"8,75",REST,MAMA ROSITA,LOS OLIVOS,ACEPTADO,15,16,10/2024,28/10/2024 15:16
28,00/01/1900 14:37,"16,06",REST,LA MECHE,LOS OLIVOS,ACEPTADO,14,37,10/2024,28/10/2024 14:37
28,00/01/1900 21:10,"21,86",REST,LA MECHE,LOS OLIVOS,ACEPTADO,21,10,10/2024,28/10/2024 21:10
28,00/01/1900 10:41,"23,03",REST,PITROIT PIZZA,LOS OLIVOS,ACEPTADO,10,41,10/2024,28/10/2024 10:41
28,00/01/1900 14:35,"25,2",REST,CARRITO SANGUCHERO,LOS OLIVOS,ACEPTADO,14,35,10/2024,28/10/2024 14:35
28,00/01/1900 19:14,"31,35",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,19,14,10/2024,28/10/2024 19:14
28,00/01/1900 14:58,"15,7",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,14,58,10/2024,28/10/2024 14:58
28,00/01/1900 16:33,"15,7",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,16,33,10/2024,28/10/2024 16:33
28,00/01/1900 14:13,"20,43",REST,SAM'S CHICKEN,LOS OLIVOS,ACEPTADO,14,13,10/2024,28/10/2024 14:13
28,00/01/1900 13:06,"15,7",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,13,6,10/2024,28/10/2024 13:06
28,00/01/1900 8:43,"25,68",REST,SAM'S CHICKEN,LOS OLIVOS,ACEPTADO,8,43,10/2024,28/10/2024 8:43
28,00/01/1900 13:39,"61,42",REST,ENTRE BROSTERS,LOS OLIVOS,ACEPTADO,13,39,10/2024,28/10/2024 13:39
28,00/01/1900 20:22,"21,52",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,20,22,10/2024,28/10/2024 20:22
27,00/01/1900 23:12,"22,4",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,23,12,10/2024,27/10/2024 23:12
28,00/01/1900 22:22,"17,45",REST,JUJU,LOS OLIVOS,ACEPTADO,22,22,10/2024,28/10/2024 22:22
28,00/01/1900 22:53,"11,2",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,22,53,10/2024,28/10/2024 22:53
28,00/01/1900 15:35,"22,4",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,15,35,10/2024,28/10/2024 15:35
28,00/01/1900 16:42,"38,43",REST,POLLO SALVADOR,LOS OLIVOS,ACEPTADO,16,42,10/2024,28/10/2024 16:42
28,00/01/1900 19:01,"11,2",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,19,1,10/2024,28/10/2024 19:01
28,00/01/1900 14:59,"11,2",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,14,59,10/2024,28/10/2024 14:59
28,00/01/1900 9:42,"11,2",REST,CHIFA LATO,LOS OLIVOS,ACEPTADO,9,42,10/2024,28/10/2024 9:42
28,00/01/1900 22:51,"19,53",REST,RICKY RINCON,LOS OLIVOS,ACEPTADO,22,51,10/2024,28/10/2024 22:51
29,00/01/1900 0:06,"26,72",REST,MAMA ROSITA,LINCE,ACEPTADO,0,6,10/2024,29/10/2024 0:06
29,00/01/1900 0:35,"30,09",REST,SAM'S CHICKEN,LINCE,ACEPTADO,0,35,10/2024,29/10/2024 0:35
27,00/01/1900 23:11,"39,05",REST,MAMA ROSITA,LINCE,ACEPTADO,23,11,10/2024,27/10/2024 23:11
29,00/01/1900 1:00,"11,13",REST,PASTI PASTA,LINCE,ACEPTADO,1,0,10/2024,29/10/2024 1:00
29,00/01/1900 0:58,"26,49",REST,MAMA ROSITA,LINCE,ACEPTADO,0,58,10/2024,29/10/2024 0:58
28,00/01/1900 23:14,"42,66",REST,RICKY RINCON,LINCE,ACEPTADO,23,14,10/2024,28/10/2024 23:14
28,00/01/1900 19:32,"23,8",REST,MAMA ROSITA,LINCE,ACEPTADO,19,32,10/2024,28/10/2024 19:32
28,00/01/1900 0:03,"22,37",REST,MAMA ROSITA,LINCE,ACEPTADO,0,3,10/2024,28/10/2024 0:03
28,00/01/1900 19:31,"32,4",REST,MAMA ROSITA,LINCE,ACEPTADO,19,31,10/2024,28/10/2024 19:31
28,00/01/1900 22:26,"33,89",REST,POLLO SALVADOR,LINCE,ACEPTADO,22,26,10/2024,28/10/2024 22:26
28,00/01/1900 19:32,"19,44",REST,PASTI PASTA,LINCE,ACEPTADO,19,32,10/2024,28/10/2024 19:32
28,00/01/1900 19:33,"13,23",REST,RICKY RINCON,LINCE,ACEPTADO,19,33,10/2024,28/10/2024 19:33
28,00/01/1900 19:34,15,REST,WILL & BILL,LINCE,ACEPTADO,19,34,10/2024,28/10/2024 19:34
29,00/01/1900 0:05,"7,5",REST,WILL & BILL,LINCE,ACEPTADO,0,5,10/2024,29/10/2024 0:05
29,00/01/1900 0:04,15,REST,WILL & BILL,LINCE,ACEPTADO,0,4,10/2024,29/10/2024 0:04
29,00/01/1900 0:59,"16,05",REST,POKE & FRIEND,LINCE,ACEPTADO,0,59,10/2024,29/10/2024 0:59
28,00/01/1900 23:14,"65,51",REST,PITROIT PIZZA,LINCE,ACEPTADO,23,14,10/2024,28/10/2024 23:14
29,00/01/1900 0:35,"14,65",REST,PASTI PASTA,LINCE,ACEPTADO,0,35,10/2024,29/10/2024 0:35
29,00/01/1900 0:07,"37,88",REST,PASTI PASTA,LINCE,ACEPTADO,0,7,10/2024,29/10/2024 0:07
28,00/01/1900 19:36,"35,38",REST,PASTI PASTA,LINCE,ACEPTADO,19,36,10/2024,28/10/2024 19:36
27,00/01/1900 23:11,"32,08",REST,PASTI PASTA,LINCE,ACEPTADO,23,11,10/2024,27/10/2024 23:11
29,00/01/1900 0:06,"30,36",REST,PASTI PASTA,LINCE,ACEPTADO,0,6,10/2024,29/10/2024 0:06
28,00/01/1900 23:15,"19,87",REST,PASTI PASTA,LINCE,ACEPTADO,23,15,10/2024,28/10/2024 23:15
28,00/01/1900 0:20,"7,5",REST,WILL & BILL,LINCE,ACEPTADO,0,20,10/2024,28/10/2024 0:20
29,00/01/1900 0:33,"30,19",REST,POLLO SALVADOR,LINCE,ACEPTADO,0,33,10/2024,29/10/2024 0:33
29,00/01/1900 1:00,"31,18",REST,RICKY RINCON,LINCE,ACEPTADO,1,0,10/2024,29/10/2024 1:00
29,00/01/1900 0:36,"19,9",REST,SAM'S CHICKEN,LINCE,ACEPTADO,0,36,10/2024,29/10/2024 0:36
29,00/01/1900 1:00,"15,4",REST,CARRITO SANGUCHERO,LINCE,ACEPTADO,1,0,10/2024,29/10/2024 1:00
29,00/01/1900 0:04,22,REST,WILL & BILL,LINCE,ACEPTADO,0,4,10/2024,29/10/2024 0:04
28,00/01/1900 15:59,"14,94",REST,LA MECHE,MAGDALENA,ACEPTADO,15,59,10/2024,28/10/2024 15:59
27,00/01/1900 23:20,"15,92",REST,LA MECHE,MAGDALENA,ACEPTADO,23,20,10/2024,27/10/2024 23:20
28,00/01/1900 16:00,"15,92",REST,LA MECHE,MAGDALENA,ACEPTADO,16,0,10/2024,28/10/2024 16:00
28,00/01/1900 16:01,"15,92",REST,LA MECHE,MAGDALENA,ACEPTADO,16,1,10/2024,28/10/2024 16:01
27,00/01/1900 23:14,"18,32",REST,LA MECHE,MAGDALENA,ACEPTADO,23,14,10/2024,27/10/2024 23:14
28,00/01/1900 17:13,"24,64",REST,LA MECHE,MAGDALENA,ACEPTADO,17,13,10/2024,28/10/2024 17:13
28,00/01/1900 15:58,"24,84",REST,LA MECHE,MAGDALENA,ACEPTADO,15,58,10/2024,28/10/2024 15:58
28,00/01/1900 15:20,"24,9",REST,LA MECHE,MAGDALENA,ACEPTADO,15,20,10/2024,28/10/2024 15:20
28,00/01/1900 15:26,"24,9",REST,LA MECHE,MAGDALENA,ACEPTADO,15,26,10/2024,28/10/2024 15:26
27,00/01/1900 23:20,"25,57",REST,LA MECHE,MAGDALENA,ACEPTADO,23,20,10/2024,27/10/2024 23:20
28,00/01/1900 15:58,"35,34",REST,LA MECHE,MAGDALENA,ACEPTADO,15,58,10/2024,28/10/2024 15:58
28,00/01/1900 17:12,"35,34",REST,LA MECHE,MAGDALENA,ACEPTADO,17,12,10/2024,28/10/2024 17:12
27,00/01/1900 23:17,"39,92",REST,LA MECHE,MAGDALENA,ACEPTADO,23,17,10/2024,27/10/2024 23:17
27,00/01/1900 23:16,"55,76",REST,LA MECHE,MAGDALENA,ACEPTADO,23,16,10/2024,27/10/2024 23:16
27,00/01/1900 23:20,"11,45",REST,LA MECHE,MAGDALENA,ACEPTADO,23,20,10/2024,27/10/2024 23:20
28,00/01/1900 17:10,"63,12",REST,LA MECHE,MAGDALENA,ACEPTADO,17,10,10/2024,28/10/2024 17:10
28,00/01/1900 15:24,"13,75",REST,MAMA ROSITA,MAGDALENA,ACEPTADO,15,24,10/2024,28/10/2024 15:24
28,00/01/1900 15:57,"13,75",REST,MAMA ROSITA,MAGDALENA,ACEPTADO,15,57,10/2024,28/10/2024 15:57
27,00/01/1900 22:38,"11,4",REST,WILL & BILL,AVIACION,ACEPTADO,22,38,10/2024,27/10/2024 22:38
28,00/01/1900 17:50,"13,75",REST,MAMA ROSITA,MAGDALENA,ACEPTADO,17,50,10/2024,28/10/2024 17:50
27,00/01/1900 23:17,"16,74",REST,MAMA ROSITA,MAGDALENA,ACEPTADO,23,17,10/2024,27/10/2024 23:17
27,00/01/1900 22:39,"13,23",REST,RICKY RINCON,AVIACION,ACEPTADO,22,39,10/2024,27/10/2024 22:39
28,00/01/1900 23:19,"18,2",REST,MAMA ROSITA,MAGDALENA,ACEPTADO,23,19,10/2024,28/10/2024 23:19
28,00/01/1900 14:55,"24,03",REST,POKE & FRIEND,AVIACION,ACEPTADO,14,55,10/2024,28/10/2024 14:55
28,00/01/1900 14:56,"19,19",REST,POKE & FRIEND,AVIACION,ACEPTADO,14,56,10/2024,28/10/2024 14:56
28,00/01/1900 19:18,"16,05",REST,POKE & FRIEND,AVIACION,ACEPTADO,19,18,10/2024,28/10/2024 19:18
28,00/01/1900 17:12,"21,65",REST,MAMA ROSITA,MAGDALENA,ACEPTADO,17,12,10/2024,28/10/2024 17:12
28,00/01/1900 15:58,"14,65",REST,PASTI PASTA,MAGDALENA,ACEPTADO,15,58,10/2024,28/10/2024 15:58
28,00/01/1900 22:37,"14,65",REST,PASTI PASTA,MAGDALENA,ACEPTADO,22,37,10/2024,28/10/2024 22:37
28,00/01/1900 22:38,"14,65",REST,PASTI PASTA,MAGDALENA,ACEPTADO,22,38,10/2024,28/10/2024 22:38
27,00/01/1900 23:13,"29,85",REST,LA MILANGA,MAGDALENA,ACEPTADO,23,13,10/2024,27/10/2024 23:13
28,00/01/1900 23:15,"15,42",REST,WILL & BILL,LINCE,ACEPTADO,23,15,10/2024,28/10/2024 23:15
28,00/01/1900 22:39,"21,96",REST,LA MATINA,MAGDALENA,ACEPTADO,22,39,10/2024,28/10/2024 22:39
28,00/01/1900 15:24,"28,82",REST,JUJU,MAGDALENA,ACEPTADO,15,24,10/2024,28/10/2024 15:24
29,00/01/1900 0:09,"33,15",REST,WILL & BILL,LINCE,ACEPTADO,0,9,10/2024,29/10/2024 0:09
29,00/01/1900 1:00,"21,85",REST,MAMA ROSITA,LINCE,ACEPTADO,1,0,10/2024,29/10/2024 1:00
28,00/01/1900 22:38,"12,6",REST,CARRITO SANGUCHERO,MAGDALENA,ACEPTADO,22,38,10/2024,28/10/2024 22:38
28,00/01/1900 15:58,"20,3",REST,CARRITO SANGUCHERO,MAGDALENA,ACEPTADO,15,58,10/2024,28/10/2024 15:58
28,00/01/1900 22:40,"63,8",REST,CARRITO SANGUCHERO,MAGDALENA,ACEPTADO,22,40,10/2024,28/10/2024 22:40
28,00/01/1900 15:25,"10,32",REST,CHIFA LATO,MAGDALENA,ACEPTADO,15,25,10/2024,28/10/2024 15:25
27,00/01/1900 23:15,"13,69",REST,CHIFA LATO,MAGDALENA,ACEPTADO,23,15,10/2024,27/10/2024 23:15
28,00/01/1900 15:22,"13,69",REST,CHIFA LATO,MAGDALENA,ACEPTADO,15,22,10/2024,28/10/2024 15:22
28,00/01/1900 15:25,"13,69",REST,CHIFA LATO,MAGDALENA,ACEPTADO,15,25,10/2024,28/10/2024 15:25
28,00/01/1900 17:13,"13,69",REST,CHIFA LATO,MAGDALENA,ACEPTADO,17,13,10/2024,28/10/2024 17:13
27,00/01/1900 23:22,"13,93",REST,CHIFA LATO,MAGDALENA,ACEPTADO,23,22,10/2024,27/10/2024 23:22
28,00/01/1900 16:01,"27,62",REST,CHIFA LATO,MAGDALENA,ACEPTADO,16,1,10/2024,28/10/2024 16:01
28,00/01/1900 15:59,"13,69",REST,CHIFA LIFA,MAGDALENA,ACEPTADO,15,59,10/2024,28/10/2024 15:59
27,00/01/1900 23:13,"27,16",REST,CHIFA LIFA,MAGDALENA,ACEPTADO,23,13,10/2024,27/10/2024 23:13
28,00/01/1900 15:22,"9,45",REST,LA MATINA,MAGDALENA,ACEPTADO,15,22,10/2024,28/10/2024 15:22
28,00/01/1900 17:13,"27,16",REST,CHIFA LIFA,MAGDALENA,ACEPTADO,17,13,10/2024,28/10/2024 17:13
28,00/01/1900 15:59,"14,74",REST,ENTRE BROSTERS,MAGDALENA,ACEPTADO,15,59,10/2024,28/10/2024 15:59
28,00/01/1900 17:50,"14,74",REST,ENTRE BROSTERS,MAGDALENA,ACEPTADO,17,50,10/2024,28/10/2024 17:50
27,00/01/1900 23:23,"17,43",REST,ENTRE BROSTERS,MAGDALENA,ACEPTADO,23,23,10/2024,27/10/2024 23:23
27,00/01/1900 23:22,"20,69",REST,ENTRE BROSTERS,MAGDALENA,ACEPTADO,23,22,10/2024,27/10/2024 23:22
28,00/01/1900 15:21,"21,33",REST,ENTRE BROSTERS,MAGDALENA,ACEPTADO,15,21,10/2024,28/10/2024 15:21
28,00/01/1900 22:40,"27,67",REST,ENTRE BROSTERS,MAGDALENA,ACEPTADO,22,40,10/2024,28/10/2024 22:40
27,00/01/1900 23:23,"29,34",REST,ENTRE BROSTERS,MAGDALENA,ACEPTADO,23,23,10/2024,27/10/2024 23:23
28,00/01/1900 15:23,"29,34",REST,ENTRE BROSTERS,MAGDALENA,ACEPTADO,15,23,10/2024,28/10/2024 15:23
28,00/01/1900 22:39,"29,34",REST,ENTRE BROSTERS,MAGDALENA,ACEPTADO,22,39,10/2024,28/10/2024 22:39
28,00/01/1900 22:43,"34,24",REST,ENTRE BROSTERS,MAGDALENA,ACEPTADO,22,43,10/2024,28/10/2024 22:43
28,00/01/1900 22:41,"56,68",REST,ENTRE BROSTERS,MAGDALENA,ACEPTADO,22,41,10/2024,28/10/2024 22:41
28,00/01/1900 15:26,"11,95",REST,JUJU,MAGDALENA,ACEPTADO,15,26,10/2024,28/10/2024 15:26
28,00/01/1900 17:12,"17,45",REST,JUJU,MAGDALENA,ACEPTADO,17,12,10/2024,28/10/2024 17:12
28,00/01/1900 23:19,"20,23",REST,JUJU,MAGDALENA,ACEPTADO,23,19,10/2024,28/10/2024 23:19
28,00/01/1900 22:45,"5,95",REST,ENTRE BROSTERS,MAGDALENA,ACEPTADO,22,45,10/2024,28/10/2024 22:45
29,00/01/1900 0:58,"20,6",REST,MAMA ROSITA,LINCE,ACEPTADO,0,58,10/2024,29/10/2024 0:58
29,00/01/1900 0:34,35,REST,LA MILANGA,LINCE,ACEPTADO,0,34,10/2024,29/10/2024 0:34
29,00/01/1900 0:59,"12,97",REST,MAMA ROSITA,LINCE,ACEPTADO,0,59,10/2024,29/10/2024 0:59
29,00/01/1900 0:36,"18,43",REST,CHIFA LATO,LINCE,ACEPTADO,0,36,10/2024,29/10/2024 0:36
